Case ID,Activity,Start Timestamp,End Timestamp,Cluster,Cluster Number,Gender,DayType
20100101100520,Sleeping,04:00:00,07:00:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Eating and drinking,07:00:00,09:00:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Travel related to personal care,09:00:00,09:15:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Doing aerobics,09:15:00,10:15:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Travel related to personal care,10:15:00,10:25:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Security procedures rel. to consumer purchases,10:25:00,10:55:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Travel related to personal care,10:55:00,11:05:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Interior cleaning,11:05:00,11:15:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Sleeping,11:15:00,11:45:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Interior cleaning,11:45:00,12:15:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Socializing and communicating with others,12:15:00,12:45:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Travel related to personal care,12:45:00,13:15:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Socializing and communicating with others,13:15:00,16:00:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Travel related to personal care,16:00:00,16:05:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Eating and drinking,16:05:00,17:05:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Travel related to personal care,17:05:00,17:35:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Socializing and communicating with others,17:35:00,21:00:00,OM_complete_k5_2,2,Female,Weekend
20100101100520,Sleeping,21:00:00,05:30:00,OM_complete_k5_2,2,Female,Weekend
20100101100658,Sleeping,04:00:00,08:00:00,OM_complete_k5_2,2,Male,Weekend
20100101100658,Socializing and communicating with others,08:00:00,09:30:00,OM_complete_k5_2,2,Male,Weekend
